"","intercambio","genero","uni","conocimiento_intercambio","prendas_entrada","prendas_salida","puntos_entrada","puntos_salida","hora_inscripcion","destacable_evento","repetidor","puntos_extra","puntos_antes","hora_entrada","fiel_intercambio","entrada_prenda_1","entrada_prenda_2","entrada_prenda_3","entrada_prenda_4","entrada_prenda_5","hora_salida","salida_prenda_1","salida_prenda_2","salida_prenda_3","salida_prenda_4","salida_prenda_5","salida_prenda_6","salida_prenda_7","salida_prenda_8","salida_prenda_9"
"865","2025_4","Agenero","No soy de la universidad...","Amigo organizador",5,4,20,5,2025-04-02 09:23:43,NA,"Primera vez",NA,0,"11:26:20","Primer intercambio","Vestido","Vestido","Vestido","Vestido","Vestido","2/04/2025 12:07:37","Chaqueta","Chaqueta","Falda","","","","","",""
"866","2025_4","Mujer","UC3M","Amigo organizador",4,5,13,-3,2025-04-02 09:24:51,NA,"Primera vez",NA,0,"11:25:42","Segundo intercambio","Pantalón","Pantalón","Pantalón","Sudadera","","2/04/2025 11:37:55","Jersey","Jersey","Jersey","Jersey","","","","",""
"867","2025_4","No binarie","UC3M",NA,4,4,21,10,2025-04-02 09:27:45,NA,"Varias veces",NA,6,"12:00:45","CUARTO INTERCAMBIO","Chaqueta","Pantalón","Camiseta/Polo/Top","Jersey","","2/04/2025 12:20:37","Pantalón","Chaqueta","Camiseta/Polo/Top","","","","","",""
"868","2025_4","Mujer","UC3M",NA,4,6,29,11,2025-04-02 09:44:32,NA,"Segunda vez",NA,13,"11:44:50","Primer intercambio","Pantalón","Pantalón","Vestido","Chaqueta","","2/04/2025 12:14:36","Bolso","Jersey","Vestido","Vestido","Jersey","","","",""
"869","2025_4","Hombre","UC3M",NA,4,3,13,7,2025-04-02 09:58:58,NA,"Varias veces",2,0,"12:57:02","Segundo intercambio","Camiseta/Polo/Top","Camiseta/Polo/Top","Pantalón","Sudadera","","2/04/2025 12:56:17","Sudadera","Camiseta/Polo/Top","","","","","","",""
"870","2025_4","Mujer","No soy de la universidad...","Amigo organizador",5,7,16,0,2025-04-02 10:00:09,NA,"Primera vez",NA,0,"12:11:18","Primer intercambio","Pantalón","Jersey","Falda","Camiseta/Polo/Top","Vestido","2/04/2025 12:37:47","Camiseta/Polo/Top","Falda","Camiseta/Polo/Top","Vestido","Camiseta/Polo/Top","Pantalón","","",""
"871","2025_4","Hombre","UCM",NA,0,0,17,17,2025-04-02 10:04:26,NA,"Segunda vez",NA,17,"","Segundo intercambio","","","","","","","","","","","","","","",""
"872","2025_4","Mujer","UCM",NA,1,3,6,0,2025-04-02 10:06:20,NA,"Segunda vez",NA,0,"12:07:18","Segundo intercambio","Chaqueta","","","","","2/04/2025 12:43:49","Camiseta/Polo/Top","Jersey","","","","","","",""
"873","2025_4","Hombre","UC3M",NA,3,0,7,7,2025-04-02 10:11:37,NA,"Varias veces",NA,0,"12:12:30","Segundo intercambio","Camiseta/Polo/Top","Camiseta/Polo/Top","Pantalón","","","","","","","","","","","",""
"874","2025_4","Mujer","UC3M","Amigo organizador",5,5,14,3,2025-04-02 10:25:38,NA,"Primera vez",NA,0,"12:26:03","Primer intercambio","Camiseta/Polo/Top","Pantalón","Pantalón","Pantalón","Pantalón","2/04/2025 12:59:22","Pantalón","Pantalón","Falda","Camiseta/Polo/Top","","","","",""
"875","2025_4","No binarie","UCM","Amigo organizador",5,7,22,2,2025-04-02 10:32:04,NA,"Primera vez",NA,2,"12:35:43","Primer intercambio","Chaqueta","Sudadera","Jersey","Jersey","Camiseta/Polo/Top","2/04/2025 14:20:08","Jersey","Jersey","Sudadera","Camiseta/Polo/Top","Pantalón","Pantalón","","",""
"876","2025_4","Mujer","UC3M",NA,5,7,19,0,2025-04-02 10:32:26,NA,"Segunda vez",NA,0,"12:33:56","Primer intercambio","Vestido","Pantalón","Chaqueta","Vestido","Camiseta/Polo/Top","2/04/2025 12:50:28","Complementos","Chaqueta","Camiseta/Polo/Top","Jersey","Jersey","Camiseta/Polo/Top","","",""
"877","2025_4","Mujer","UC3M","Comunicación UC3M",5,3,18,12,2025-04-02 10:36:55,NA,"Primera vez",NA,0,"12:37:21","Primer intercambio","Camiseta/Polo/Top","Vestido","Chaqueta","Falda","Falda","2/04/2025 16:27:26","Jersey","Camiseta/Polo/Top","","","","","","",""
